#{"t_start": 1638379752.447189, "env_id": null}
r,l,t
61661.933423,335,670.106456
61979.168375,330,670.660038
58620.399161,334,672.298319
61828.106955,332,672.839864
60923.244688,329,673.380842
58723.066334,329,673.905966
61425.004064,333,674.450153
61313.640562,339,675.002223
60729.565883,333,676.755714
61460.102069,335,677.34301
55320.068306,332,677.867045
60621.165648,332,678.390667
60509.624441,332,679.023875
61783.485548,335,679.572799
55420.624283,332,680.093612
58844.370392,336,681.975502
61438.046907,332,682.504439
64092.256222,335,683.083905
61470.766253,334,683.617873
58968.019441,333,684.149731
63909.458312,338,684.694466
58625.217613,335,686.32433
58363.465292,327,686.864608
58640.986235,331,687.412908
61502.186612,335,687.97435
62238.092996,336,688.514645
61930.630598,333,689.073339
59192.155636,337,690.869348
58446.996321,332,691.438397
61952.500084,333,691.995731
57937.002982,333,692.55344
58265.154563,330,693.109926
62024.971754,331,693.679657
61326.717964,335,695.534915
58650.688677,330,696.114306
60957.393975,330,696.721546
61712.396728,331,697.276391
57750.75584,331,697.840294
58286.417562,327,698.394613
61844.650027,327,700.147746
58496.535985,333,700.717665
62034.28585,333,701.302446
58246.285139,337,701.87409
61674.28697,330,702.436792
58573.873211,330,702.996738
56489.83547,327,704.722194
58762.814429,336,705.253212
58834.807134,330,705.795707
59094.186221,332,706.320971
62147.732326,330,706.856611
58919.413458,334,707.407206
62318.332743,331,708.046492
62349.771153,333,709.880639
61553.289742,338,710.41228
62045.798711,332,710.935985
60166.858426,329,711.509048
58724.511851,333,712.044477
60380.938048,333,712.616704
57332.648529,326,714.246835
61350.329997,330,714.790649
58761.861986,330,715.317762
59047.825013,335,715.853442
61721.092169,335,716.380359
61768.769438,331,716.905466
62002.390727,335,718.545102
62254.032103,332,719.064912
58945.693391,328,719.62372
58039.861969,331,720.15705
58549.47532,329,720.740778
58832.986163,333,721.273662
59094.225165,330,722.901054
61705.582818,330,723.426728
59367.827266,330,723.939353
62162.26323,329,724.515922
61352.709587,334,725.036384
59595.311474,330,725.545617
57749.503169,332,727.12007
62248.975241,331,727.632703
56901.520395,328,728.142459
62647.823673,331,728.674319
59195.42938,332,729.193802
61943.171925,333,729.719373
58948.677949,334,731.328605
58631.656557,329,731.858039
61766.936655,333,732.380383
62223.62561,330,732.905033
57470.003198,331,733.429639
61674.146393,333,733.958406
59064.04963,330,734.477509
59288.969326,329,736.08615
59194.537191,330,736.601531
58653.657112,330,737.117126
62101.179078,335,737.665437
58649.783926,330,738.218582
58780.358921,333,738.751241
58762.815279,333,740.352259
59545.36054,329,740.871442
61085.42468,331,741.43429
59313.737231,330,741.952231
59563.204938,333,742.466789
59324.914689,330,742.997572
62568.759827,331,744.765751
58787.785774,329,745.339242
59269.980785,330,745.871779
58911.702891,333,746.400307
59158.962324,331,746.933881
58875.464591,336,747.480768
62468.199483,329,749.171942
58891.958408,333,749.697806
59225.116169,333,750.219151
58590.218832,332,750.751952
62096.00121,333,751.29912
59052.338223,329,751.839319
59132.127912,333,753.434786
60411.351891,327,753.952768
59192.583303,336,754.495024
62677.586143,330,755.021255
62136.238749,329,755.531907
59562.071421,330,756.282755
58079.750542,332,756.935961
61964.38594,328,758.77871
61809.754213,328,759.478011
58618.210224,329,760.212815
59158.176636,332,760.788474
59299.975642,338,761.317703
58863.961034,330,761.854244
59346.247417,329,763.505948
61749.60017,334,764.036302
62188.130229,334,764.579595
58072.140469,328,765.127079
59549.817476,331,765.871955
58935.249288,330,766.402168
57048.162505,329,768.428619
62034.989374,329,769.037462
60975.43646,334,769.589555
59529.427158,335,770.137918
59314.819721,331,770.697821
60566.826872,332,771.234208
57785.827485,327,772.927021
62343.695834,330,773.488185
59121.827264,330,774.009004
59088.47309,333,774.55142
59028.987835,329,775.089614
58500.266309,332,775.700088
59328.519559,331,777.302134
62194.994006,332,777.830002
58513.583341,331,778.344759
59149.163896,329,778.860121
62162.066763,330,779.381979
59381.363427,332,779.938235
59172.212274,335,781.559592
59320.721278,330,782.097195
61233.43165,328,782.650453
58800.219032,333,783.417382
59514.541936,330,784.441693
58710.750175,329,785.037783
57436.884418,326,785.627227
59492.50004,331,790.421044
58932.514969,334,791.107817
59279.117131,333,791.877792
62660.145612,327,792.56758
59131.556661,334,793.400997
61671.113671,331,794.018629
59543.086561,332,798.747399
59794.81587,331,799.483966
58767.885614,332,800.110838
59318.774226,331,800.755407
59441.096581,330,801.540328
59507.540866,331,802.319031
59501.238276,329,804.60571
58779.763093,333,805.143611
55307.596758,327,805.69463
57926.627871,331,806.483597
59590.27239,331,806.99917
61948.847819,329,807.706644
58708.334742,334,810.242265
62677.153841,331,811.013454
62881.584376,333,811.891687
57492.88635,333,812.594143
55563.076199,331,813.27632
62646.605146,331,813.857733
59716.71608,332,815.845377
62524.08848,333,816.40387
63022.15495,330,816.952385
59020.89995,329,817.485689
59228.001593,329,818.036211
59219.142361,331,818.609138
59090.334878,330,819.164136
59019.230328,329,820.983878
59618.399189,329,821.730406
