agent,trial,episode,reward,acceptance_rate,mean_cpu_utilization,mean_memory_utilization,mean_bandwidth_utilization,mean_operating_servers
PPO,211,0,32886.43105675152,0.7,0.04804894179894179,0.034170741956411094,0.06889004939449674,0.7310126582278481
PPO,212,0,112403.65561213085,0.31,0.07415956439393935,0.04055562362262717,0.08301800675709645,0.8597285067873304
PPO,213,0,98197.3291989859,0.61,0.0526315789473684,0.038881317533178764,0.08367105827845349,0.7860262008733624
PPO,214,0,163814.9110074119,0.45,0.060947056574923476,0.040189260901401354,0.08372289303458728,0.8127853881278538
PPO,215,0,54183.872128950694,0.61,0.05213246855345913,0.04112462201408305,0.0766337058004552,0.7593984962406015
PPO,216,0,112329.64944990524,0.28,0.06718474426807755,0.046916095076469315,0.0884780739071295,0.8578947368421053
PPO,217,0,93131.94627029955,0.54,0.06090494791666672,0.037324166712901646,0.07726216463698149,0.7800829875518672
PPO,218,0,79042.85422134132,0.57,0.043239795918367345,0.046720110012509634,0.09469526254221078,0.7967479674796748
PPO,219,0,103639.33201030352,0.53,0.056114130434782646,0.047020256903494644,0.08116414743391125,0.8181818181818182
PPO,220,0,107039.0653256307,0.35,0.06051520270270267,0.037386701218687965,0.08412983063315702,0.8172043010752689
PPO,221,0,65061.52929026912,0.58,0.053247549019607855,0.03653659249985352,0.07149022502245247,0.734375
PPO,222,0,65288.81537106951,0.33,0.07339854002624675,0.03559431873425509,0.08335209393100006,0.796078431372549
PPO,223,0,99417.91254648863,0.44,0.06161415642076514,0.05211381156651499,0.08323690711115754,0.8122448979591836
PPO,224,0,138096.58317221727,0.47,0.06684027777777787,0.04812488927313095,0.09404068509860312,0.8114754098360656
PPO,225,0,161408.66140604115,0.32,0.06877309113300492,0.03811396059004072,0.08892897544621219,0.8235294117647058
PPO,226,0,208037.94432109382,0.31,0.11044034090909093,0.05964874459216597,0.1571527991554299,1.502262443438914
PPO,227,0,70271.78694183895,0.66,0.05287130996309963,0.039398787692849484,0.08168299154487724,0.7757352941176471
PPO,228,0,77256.90519699572,0.52,0.06140350877192982,0.038266218635079945,0.07812210610717436,0.7415730337078652
PPO,229,0,134672.45789633293,0.32,0.07131926546391758,0.03791055693790909,0.08640230504843384,0.8051282051282052
PPO,230,0,185886.99714408754,0.41,0.10124620445344135,0.07065490512670682,0.12529142470936047,1.2983870967741935
PPO,231,0,165659.92622215394,0.34,0.05455921592775038,0.05761693387039766,0.09315958806131072,0.8676470588235294
PPO,232,0,89126.84791154458,0.45,0.07178965336134453,0.04421506235232336,0.08430883133295781,0.8117154811715481
PPO,233,0,168849.4667806661,0.21,0.08412388392857142,0.0533963712568196,0.12478721951782973,1.0414201183431953
PPO,234,0,124323.15396084159,0.29,0.0699127906976745,0.035159894505976196,0.0932872773440438,0.8194444444444444
PPO,235,0,95013.47935480051,0.52,0.04881198347107438,0.0515577305435466,0.08576106669807743,0.8106995884773662
PPO,236,0,120819.69684668645,0.35,0.06424816743827161,0.04002576779318821,0.08971249173591754,0.8341013824884793
PPO,237,0,76118.59919770109,0.42,0.06501367438867439,0.04036425534345617,0.08372689423306104,0.7884615384615384
PPO,238,0,133786.82623893578,0.43,0.06544682017543862,0.04566186560010312,0.08639853203449939,0.8427947598253275
PPO,239,0,107212.58840189643,0.26,0.06931637067395262,0.06658777793705824,0.09497813911713117,0.9347826086956522
PPO,240,0,115793.74152915589,0.51,0.05674342105263159,0.052631455873473135,0.08559066498309256,0.8185483870967742
PPO,241,0,170671.8152992647,0.35,0.05591656931464177,0.05068505637982099,0.09518959877482687,0.8511627906976744
PPO,242,0,150976.11595149175,0.33,0.07096674876847286,0.054039225945783455,0.12005446414822288,1.0637254901960784
